park,image,location,description
Ebey's Landing,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/B81D7430-1DD8-B71C-0ED7826B4048F91F.jpg></img>,"Coupeville, WA","This stunning landscape at the gateway to Puget Sound, with its rich farmland and promising seaport, lured the earliest American pioneers north of the Columbia River to Ebey’s Landing. Today Ebey’s Landing National Historical Reserve preserves the historical, agricultural and cultural traditions of both Native and Euro-American – while offering spectacular opportunities for recreation."
Fort Vancouver,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/856CA6F1-1DD8-B71C-0EC7E4D8BD9CAB59.jpg></img>,"Vancouver, OR,WA","Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community."
Ice Age Floods,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/8A78460C-155D-4519-3E65A2522D025AAF.jpg></img>,"WA,OR,ID,MT","""At the end of the last Ice Age, some 12,000 to 17,000 years ago, a series of cataclysmic floods occurred in what is now the northwest region of the United States, leaving a lasting mark of dramatic and distinguishing features on the landscape of parts of the States of Montana, Idaho, Washington and Oregon.""
Public Law 111-11, March 30, 2009"
Klondike Gold Rush - Seattle Unit,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/5DD4D30B-155D-4519-3EE6D7F05C209D52.jpg></img>,"Seattle, WA","Seattle flourished during and after the Klondike Gold Rush. Merchants supplied people from around the world passing through this port city on their way to a remarkable adventure in Alaska. Today, the park is your gateway to learn about the Klondike Gold Rush, explore the area's public lands, and engage with the local community."
Lake Roosevelt,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/8AD086EF-1DD8-B71C-0E04BFEC1629E0C6.jpg></img>,"the Canadian border going to Coulee Dam along the Columbia River, WA","In 1941 the Grand Coulee Dam was built on the Columbia River as part of the Columbia River Basin project, creating a 130-mile long lake. Named for President Franklin D. Roosevelt, Lake Roosevelt National Recreation Area provides opportunities for boating, fishing, swimming, camping, canoeing, hunting and visiting historic Fort Spokane and St. Paul's Mission."
Lewis & Clark,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/1F2C5E30-1DD8-B71C-0ED8FE190406A09F.jpg></img>,"Sixteen States: IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV","The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois."
Lewis and Clark,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/AB83D22C-155D-4519-3EF0C18B5B364870.jpg></img>,"Long Beach to Cannon Beach, OR,WA",Explore the timeless rainforests and majestic coastal vistas. Discover the rich heritage of the native people. Unfold the dramatic stories of America's most famous explorers. The park encompasses sites along the Columbia River and the Pacific Coast. Follow in the footsteps of the explorers and have an adventure in history.
Manhattan Project,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/A2FCC151-1DD8-B71C-07047AD6C96567F5.jpg></img>,"Manhattan Project National Historical Park, NM,WA,TN","This site tells the story about the people, events, science, and engineering that led to the creation of the atomic bomb, which helped end World War II."
Minidoka,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/2734B81C-1DD8-B71C-0E1C80E6C6EB149A.jpg></img>,"Jerome, ID,WA","The Pearl Harbor attack intensified existing hostility towards Japanese Americans. As wartime hysteria mounted, President Roosevelt signed Executive Order 9066 forcing over 120,000 West Coast persons of Japanese ancestry (Nikkei) to leave their homes, jobs, and lives behind, forcing them into one of ten prison camps spread across the nation because of their ethnicity.
This is Minidoka's story."
Monte Rainier,None,WA,
Mount Rainier,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/E8D4A338-1DD8-B71C-0E7D0FCE8557BB41.jpg></img>,"Ashford, Enumclaw, Packwood, Wilkeson, WA","Ascending to 14,410 feet above sea level, Mount Rainier stands as an icon in the Washington landscape. An active volcano, Mount Rainier is the most glaciated peak in the contiguous U.S.A., spawning five major rivers. Subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainier’s lower slopes. Wildlife abounds in the park’s ecosystems. A lifetime of discovery awaits."
Nez Perce,None,"four states ID,MT,OR,WA","Since time immemorial, the valleys, prairies, mountains, and plateaus of the inland northwest have been home to the Nimiipuu (Nez Perce) people. Extremely resilient, they survived the settling of the United States and adapted to a changed world. Nez Perce National Historical Park consists of 38 places important to the history and culture of the Nimiipuu. Explore these places. Learn their stories."
North Cascades,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/2C5DAAAF-1DD8-B71C-0ED1D7722A073EF1.jpg></img>,"Marblemount, WA","Less than three hours from Seattle, an alpine landscape beckons. Discover communities of life adapted to moisture in the west and recurring fire in the east. Explore jagged peaks crowned by more than 300 glaciers. Listen to cascading waters in forested valleys. Witness a landscape sensitive to the Earth's changing climate. Help steward the ecological heart of the Cascades."
Olympic,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/00632978-D789-6335-3EAAC4036638FDD2.jpg></img>,"Port Angeles, WA","With its incredible range of precipitation and elevation, diversity is the hallmark of Olympic National Park. Encompassing nearly a million acres, the park protects a vast wilderness, thousands of years of human history, and several distinctly different ecosystems, including glacier-capped mountains, old-growth temperate rain forests, and over 70 miles of wild coastline. Come explore!"
Oregon,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/EB083792-1DD8-B71C-0E64970BDECAFE24.jpg></img>,"Various States ID,KS,MO,NE,OR,WA,WY","Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers."
San Juan Island,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/810F2DDD-D6BE-87A3-4AAC657B1DD39815.jpg></img>,"Friday Harbor, WA","San Juan Island is well known for splendid vistas, saltwater shore, quiet woodlands, orca whales and one of the last remaining native prairies in the Puget Sound/Northern Straits region. But it was also here in 1859 that the United States and Great Britain nearly went to war over possession of the island, the crisis ignited by the death of a pig."
Whitman Mission,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/E7C919E7-FD40-8D9A-E93062FAAD7F4939.jpg></img>,"Walla Walla, WA","The 1847 attack on the Whitmans horrified Americans and impacted the lives of the peoples of the Columbia Plateau for decades afterwards. Was killing the Whitmans justified legal retribution, an act of revenge, or some combination of both? The circumstances that surround this tragic event resonate with modern issues of cultural interaction and differing perspectives."
Wing Luke Museum,<img src=https://www.nps.gov//customcf/apps/CMS_HandF/ParkSearchPics/3E315861-F1AA-A1ED-F5FAC5873F487710.jpg></img>,"Seattle, WA","More than a museum, the Wing is an experience. A chance to truly understand what it was - and is - to be Asian American in the Pacific Northwest. Take a guided tour of a historic hotel and learn the inside story about what makes the local Chinatown-International District unique. Visitors explore thought-provoking exhibitions of real stories, including actor and martial arts master Bruce Lee."
